"Name (English)","Region of Focus","Language","Entity owner (English)","Parent entity (English)","TikTok account","TikTok URL","TikTok Subscriber #"
"Yang Xinmeng (Abby Yang)","Anglosphere","English","China Media Group (CMG)","Central Publicity Department","_bubblyabby_","https://www.tiktok.com/@_bubblyabby_",660
"Chen Zhong (Dechinghutay / Ghoti)","Afghanistan","Pashto","China Media Group (CMG)","Central Publicity Department","dechinghutay","https://www.tiktok.com/@dechinghutay",326100
"Chinese Embassy in France","France","French","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ambassadedechine","https://www.tiktok.com/@ambassadedechine",168600
"Chinese Embassy in Italy","Italy","Italian","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ambcina","https://www.tiktok.com/@ambcina",7989
"Andy Boreham","Shanghai","English","Shanghai United Media Group (SUMG)","Shanghai Municipal Committee","andysshanghailife","https://www.tiktok.com/@andysshanghailife",2733
"Ma Ye (Ayisha Elseenya / عائشة الصينية)","MENA","Arabic","China Media Group (CMG)","Central Publicity Department","ayishaelseenya","https://www.tiktok.com/@ayishaelseenya",31200
"Discover Beijing","Anglosphere","English","unknown","unknown","discoverbeijing","https://www.tiktok.com/@discoverbeijing",9009
"Chinese Consulate General in Belfast","UK","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","ccgbelfast","https://www.tiktok.com/@ccgbelfast",16
"CCTV+","China","Chinese","China Media Group (CMG)","Central Publicity Department","cctv_plus","https://www.tiktok.com/@cctv_plus",104
"CCTV News","China","Chinese","China Media Group (CMG)","Central Publicity Department","MS4wLjABAAAASonqW9AAJrQJEqO2X5AW7RPRWe-Xofil3_ismHmHIg-_IxqJi5wTpc29D4AFKVod","https://www.tiktok.com/@MS4wLjABAAAASonqW9AAJrQJEqO2X5AW7RPRWe-Xofil3_ismHmHIg-_IxqJi5wTpc29D4AFKVod",663
"Chinese Consulate General in Zurich","Switzerland","German","Ministry of Foreign Affairs","Ministry of Foreign Affairs","chinakonsulzurich","https://www.tiktok.com/@chinakonsulzurich",40900
"Zhang Meifang","UK","English","Ministry of Foreign Affairs","Ministry of Foreign Affairs","cgmeifangzhang","https://www.tiktok.com/@cgmeifangzhang",1071
"CGTN Arabic","MENA","Arabic","China Media Group (CMG)","Central Publicity Department","cgtnarabic","https://www.tiktok.com/@cgtnarabic",66
